@relation 'XXXXXXL2 2'

@attribute 'status pozyczki' {splacona_cz,odmowa,splacona,windykacja_sp,windykacja}
@attribute 'kwota kredytu' numeric
@attribute wiek numeric
@attribute plec {mezczyzna,kobieta}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pobieral dochod' numeric
@attribute 'okres w jakim bedzie pobieral dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
splacona_cz,400,44,mezczyzna,12,1963.88,0,2,3,0
splacona,400,71,mezczyzna,13,1772.53,0,280,48,0
splacona_cz,600,68,mezczyzna,16,1100,1,135,48,0
splacona_cz,400,64,mezczyzna,16,1473.04,0,164,48,4
splacona_cz,300,59,kobieta,13,1026,1,52,48,0
splacona,300,62,kobieta,13,917,0,73,48,10
splacona_cz,500,60,kobieta,13,1160,0,75,48,0
splacona_cz,500,43,mezczyzna,98,3178,1,200,48,7
splacona_cz,200,51,kobieta,11,932.34,1,396,48,0
splacona_cz,200,70,mezczyzna,13,1420,0,49,48,0
odmowa,200,50,kobieta,17,734.94,0,19,6,0
splacona_cz,600,43,kobieta,11,1443,1,30,48,0
splacona_cz,1000,73,kobieta,13,2100,1,52,48,0
splacona_cz,300,59,kobieta,13,936,1,28,48,0
odmowa,200,66,kobieta,13,757.1,0,197,48,0
splacona,200,57,kobieta,13,1083.23,1,95,48,0
odmowa,300,53,mezczyzna,11,970,0,197,48,0
splacona_cz,300,25,kobieta,12,1300,0,4,7,1
splacona_cz,300,22,kobieta,12,1500,0,0,2,1
splacona_cz,400,52,kobieta,16,1362,1,26,48,0
splacona,300,73,kobieta,16,1138.01,0,3,48,16
splacona_cz,400,63,kobieta,13,2113.24,0,58,48,0
splacona_cz,300,51,kobieta,11,1400,1,160,48,1
splacona_cz,700,64,mezczyzna,13,3040,1,200,48,0
splacona,200,71,mezczyzna,13,1921,1,87,48,0
splacona_cz,200,53,kobieta,12,984.34,0,14,6,0
splacona_cz,800,56,kobieta,13,580,1,117,48,3
splacona_cz,300,29,mezczyzna,11,1000,1,54,48,0
splacona_cz,1000,61,kobieta,13,1820,1,66,48,0
splacona_cz,300,27,kobieta,11,901,0,37,48,0
splacona_cz,250,68,mezczyzna,13,2000,1,41,48,0
splacona_cz,200,54,kobieta,11,1077,1,182,48,0
splacona,250,68,mezczyzna,13,1162.41,1,102,48,0
odmowa,200,49,kobieta,11,1870,0,264,48,0
windykacja,800,32,mezczyzna,11,2256,0,71,48,2682
splacona_cz,300,49,kobieta,11,992.84,1,119,48,1
splacona_cz,200,26,mezczyzna,17,728,1,98,34,0
splacona_cz,476.61,59,mezczyzna,11,2947,1,50,48,4
splacona_cz,250,46,kobieta,98,911,1,96,48,1
splacona_cz,200,68,kobieta,13,1134.96,1,160,48,5
splacona_cz,200,36,kobieta,12,1382,0,18,6,0
